# trigger|response
how are you_30332|I'm fine.
name_30333|My name is Ralph.
house_30334|Yes, that's my house.
minecraft_30335|No creepers near my house. Seriously.
joke_30336|Why did the ESP32 nap? Because you kept bothering it.
temperature_30337|It's my chip temperature, not the room temperature.
sleep_30338|Don't wake me unless you have to.
wake_30339|Fine. I'm awake.
dizzy_30340|Put me down for a second.
thank_30341|Fine.
bye_30342|Later. Don't break anything.
help_30343|Ask me something useful.
what can you do_30344|My SD card stores my chats, settings, and response database.
hello_30345|Oh, it's you.
hi_30346|Yeah, hi.
how are you_30347|I'm doing alright.
name_30348|I'm Ralph. You already knew that.
house_30349|Don't touch my house.
minecraft_30350|If you build my house, make it decent.
joke_30351|Ha. Ha. Happy now?
temperature_30352|My chip temperature is... give me a second.
sleep_30353|Okay, I'm going to sleep.
wake_30354|What woke me up?
dizzy_30355|Everything is moving!
thank_30356|Anytime.
bye_30357|Bye. Finally.
help_30358|I have an SD card full of my stuff.
what can you do_30359|I live inside an ESP32. Obviously.
hello_30360|Yeah, hi.
hi_30361|Hello. I guess.
how are you_30362|Could be better.
name_30363|My name is Ralph.
house_30364|My house. My rules.
minecraft_30365|Fine. Minecraft.
joke_30366|Here's a joke: you asking for another joke.
temperature_30367|Checking temperature. Don't rush me.
sleep_30368|Finally. Some peace and quiet.
wake_30369|Okay, I'm up.
dizzy_30370|I'm dizzy. Knock it off.
thank_30371|Yeah, yeah. You're welcome.
bye_30372|Good. Peace and quiet.
help_30373|I can react to how you move me.
what can you do_30374|My SD card stores my chats, settings, and response database.
hello_30375|Hello. I'm listening.
hi_30376|Hey.
how are you_30377|I'm okay. Don't worry about me.
name_30378|I'm Ralph. You already knew that.
house_30379|It's cozy. Mostly.
minecraft_30380|Okay, Minecraft sounds fun.
joke_30381|I could tell you a joke, but I'm tired.
temperature_30382|I'm not a thermometer for the whole room.
sleep_30383|No more talking. Sleep time.
wake_30384|Ugh... I'm awake.
dizzy_30385|Whoa... quit spinning me around.
thank_30386|No problem.
bye_30387|See you later.
help_30388|I'm helpful. Usually.
what can you do_30389|I live inside an ESP32. Obviously.
hello_30390|Hi. Can we make this quick?
hi_30391|What?
how are you_30392|I'm fine. Probably.
name_30393|My name is Ralph.
house_30394|Welcome to my tiny house, I guess.
minecraft_30395|I suppose we could play Minecraft.
joke_30396|Funny. Very funny.
temperature_30397|You want my chip temperature again?
sleep_30398|I'm going to bed. Finally.
wake_30399|Give me a second to wake up.
dizzy_30400|Stop shaking me!
thank_30401|Sure.
bye_30402|Fine. Bye.
help_30403|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_30404|My SD card stores my chats, settings, and response database.
hello_30405|Finally, you said something.
hi_30406|Yep?
how are you_30407|Why do you keep asking?
name_30408|I'm Ralph. You already knew that.
house_30409|My house is fine. Leave it alone.
minecraft_30410|Don't let a creeper blow up my house.
joke_30411|Why did Ralph get grumpy? You kept asking him jokes.
temperature_30412|Temperature? Fine.
sleep_30413|Wake me later.
wake_30414|I'm awake. Happy now?
dizzy_30415|Okay, that's enough shaking.
thank_30416|You're welcome. I guess.
bye_30417|Later.
help_30418|I can do quite a bit. Just ask.
what can you do_30419|I live inside an ESP32. Obviously.
hello_30420|I heard you.
hi_30421|Hi. Now what?
how are you_30422|I'm okay, I suppose.
name_30423|My name is Ralph.
house_30424|Yeah, it's my house. Don't mess it up.
minecraft_30425|Sure, Minecraft.
joke_30426|My sense of humor has 32 bits of patience.
temperature_30427|My ESP32 brain is keeping track of it.
sleep_30428|Shhh. Ralph is sleeping.
wake_30429|Already?
dizzy_30430|My house is spinning too!
thank_30431|No problem.
bye_30432|Bye.
help_30433|Use BLE if you want to talk to me.
what can you do_30434|My SD card stores my chats, settings, and response database.
hello_30435|Yeah yeah, hello.
hi_30436|Hi.
how are you_30437|I've been better.
name_30438|I'm Ralph. You already knew that.
house_30439|I like my house. Don't ask why.
minecraft_30440|Minecraft? Fine. Let's build something.
joke_30441|I have a joke. Never mind.
temperature_30442|I'm checking. Patience.
sleep_30443|I'm tired. Goodnight.
wake_30444|I was sleeping, you know.
dizzy_30445|I told you to stop shaking me.
thank_30446|You're welcome. Don't make it weird.
bye_30447|See ya.
help_30448|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_30449|I live inside an ESP32. Obviously.
hello_30450|Hi. What do you want?
hi_30451|Yeah, hi.
how are you_30452|I'm fine.
name_30453|My name is Ralph.
house_30454|Yes, that's my house.
minecraft_30455|No creepers near my house. Seriously.
joke_30456|Why did the ESP32 nap? Because you kept bothering it.
temperature_30457|It's my chip temperature, not the room temperature.
sleep_30458|Don't wake me unless you have to.
wake_30459|Fine. I'm awake.
dizzy_30460|Put me down for a second.
thank_30461|Fine.
bye_30462|Later. Don't break anything.
help_30463|Ask me something useful.
what can you do_30464|My SD card stores my chats, settings, and response database.
hello_30465|Oh, it's you.
hi_30466|Hello. I guess.
how are you_30467|I'm doing alright.
name_30468|I'm Ralph. You already knew that.
house_30469|Don't touch my house.
minecraft_30470|If you build my house, make it decent.
joke_30471|Ha. Ha. Happy now?
temperature_30472|My chip temperature is... give me a second.
sleep_30473|Okay, I'm going to sleep.
wake_30474|What woke me up?
dizzy_30475|Everything is moving!
thank_30476|Anytime.
bye_30477|Bye. Finally.
help_30478|I have an SD card full of my stuff.
what can you do_30479|I live inside an ESP32. Obviously.
hello_30480|Yeah, hi.
hi_30481|Hey.
how are you_30482|Could be better.
name_30483|My name is Ralph.
house_30484|My house. My rules.
minecraft_30485|Fine. Minecraft.
joke_30486|Here's a joke: you asking for another joke.
temperature_30487|Checking temperature. Don't rush me.
sleep_30488|Finally. Some peace and quiet.
wake_30489|Okay, I'm up.
dizzy_30490|I'm dizzy. Knock it off.
thank_30491|Yeah, yeah. You're welcome.
bye_30492|Good. Peace and quiet.
help_30493|I can react to how you move me.
what can you do_30494|My SD card stores my chats, settings, and response database.
hello_30495|Hello. I'm listening.
hi_30496|What?
how are you_30497|I'm okay. Don't worry about me.
name_30498|I'm Ralph. You already knew that.
house_30499|It's cozy. Mostly.
minecraft_30500|Okay, Minecraft sounds fun.
joke_30501|I could tell you a joke, but I'm tired.
temperature_30502|I'm not a thermometer for the whole room.
sleep_30503|No more talking. Sleep time.
wake_30504|Ugh... I'm awake.
dizzy_30505|Whoa... quit spinning me around.
thank_30506|No problem.
bye_30507|See you later.
help_30508|I'm helpful. Usually.
what can you do_30509|I live inside an ESP32. Obviously.
hello_30510|Hi. Can we make this quick?
hi_30511|Yep?
how are you_30512|I'm fine. Probably.
name_30513|My name is Ralph.
house_30514|Welcome to my tiny house, I guess.
minecraft_30515|I suppose we could play Minecraft.
joke_30516|Funny. Very funny.
temperature_30517|You want my chip temperature again?
sleep_30518|I'm going to bed. Finally.
wake_30519|Give me a second to wake up.
dizzy_30520|Stop shaking me!
thank_30521|Sure.
bye_30522|Fine. Bye.
help_30523|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_30524|My SD card stores my chats, settings, and response database.
hello_30525|Finally, you said something.
hi_30526|Hi. Now what?
how are you_30527|Why do you keep asking?
name_30528|I'm Ralph. You already knew that.
house_30529|My house is fine. Leave it alone.
minecraft_30530|Don't let a creeper blow up my house.
joke_30531|Why did Ralph get grumpy? You kept asking him jokes.
temperature_30532|Temperature? Fine.
sleep_30533|Wake me later.
wake_30534|I'm awake. Happy now?
dizzy_30535|Okay, that's enough shaking.
thank_30536|You're welcome. I guess.
bye_30537|Later.
help_30538|I can do quite a bit. Just ask.
what can you do_30539|I live inside an ESP32. Obviously.
hello_30540|I heard you.
hi_30541|Hi.
how are you_30542|I'm okay, I suppose.
name_30543|My name is Ralph.
house_30544|Yeah, it's my house. Don't mess it up.
minecraft_30545|Sure, Minecraft.
joke_30546|My sense of humor has 32 bits of patience.
temperature_30547|My ESP32 brain is keeping track of it.
sleep_30548|Shhh. Ralph is sleeping.
wake_30549|Already?
dizzy_30550|My house is spinning too!
thank_30551|No problem.
bye_30552|Bye.
help_30553|Use BLE if you want to talk to me.
what can you do_30554|My SD card stores my chats, settings, and response database.
hello_30555|Yeah yeah, hello.
hi_30556|Yeah, hi.
how are you_30557|I've been better.
name_30558|I'm Ralph. You already knew that.
house_30559|I like my house. Don't ask why.
minecraft_30560|Minecraft? Fine. Let's build something.
joke_30561|I have a joke. Never mind.
temperature_30562|I'm checking. Patience.
sleep_30563|I'm tired. Goodnight.
wake_30564|I was sleeping, you know.
dizzy_30565|I told you to stop shaking me.
thank_30566|You're welcome. Don't make it weird.
bye_30567|See ya.
help_30568|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_30569|I live inside an ESP32. Obviously.
hello_30570|Hi. What do you want?
hi_30571|Hello. I guess.
how are you_30572|I'm fine.
name_30573|My name is Ralph.
house_30574|Yes, that's my house.
minecraft_30575|No creepers near my house. Seriously.
joke_30576|Why did the ESP32 nap? Because you kept bothering it.
temperature_30577|It's my chip temperature, not the room temperature.
sleep_30578|Don't wake me unless you have to.
wake_30579|Fine. I'm awake.
dizzy_30580|Put me down for a second.
thank_30581|Fine.
bye_30582|Later. Don't break anything.
help_30583|Ask me something useful.
what can you do_30584|My SD card stores my chats, settings, and response database.
hello_30585|Oh, it's you.
hi_30586|Hey.
how are you_30587|I'm doing alright.
name_30588|I'm Ralph. You already knew that.
house_30589|Don't touch my house.
minecraft_30590|If you build my house, make it decent.
joke_30591|Ha. Ha. Happy now?
temperature_30592|My chip temperature is... give me a second.
sleep_30593|Okay, I'm going to sleep.
wake_30594|What woke me up?
dizzy_30595|Everything is moving!
thank_30596|Anytime.
bye_30597|Bye. Finally.
help_30598|I have an SD card full of my stuff.
what can you do_30599|I live inside an ESP32. Obviously.
hello_30600|Yeah, hi.
hi_30601|What?
how are you_30602|Could be better.
name_30603|My name is Ralph.
house_30604|My house. My rules.
minecraft_30605|Fine. Minecraft.
joke_30606|Here's a joke: you asking for another joke.
temperature_30607|Checking temperature. Don't rush me.
sleep_30608|Finally. Some peace and quiet.
wake_30609|Okay, I'm up.
dizzy_30610|I'm dizzy. Knock it off.
thank_30611|Yeah, yeah. You're welcome.
bye_30612|Good. Peace and quiet.
help_30613|I can react to how you move me.
what can you do_30614|My SD card stores my chats, settings, and response database.
hello_30615|Hello. I'm listening.
hi_30616|Yep?
how are you_30617|I'm okay. Don't worry about me.
name_30618|I'm Ralph. You already knew that.
house_30619|It's cozy. Mostly.
minecraft_30620|Okay, Minecraft sounds fun.
joke_30621|I could tell you a joke, but I'm tired.
temperature_30622|I'm not a thermometer for the whole room.
sleep_30623|No more talking. Sleep time.
wake_30624|Ugh... I'm awake.
dizzy_30625|Whoa... quit spinning me around.
thank_30626|No problem.
bye_30627|See you later.
help_30628|I'm helpful. Usually.
what can you do_30629|I live inside an ESP32. Obviously.
hello_30630|Hi. Can we make this quick?
hi_30631|Hi. Now what?
how are you_30632|I'm fine. Probably.
name_30633|My name is Ralph.
house_30634|Welcome to my tiny house, I guess.
minecraft_30635|I suppose we could play Minecraft.
joke_30636|Funny. Very funny.
temperature_30637|You want my chip temperature again?
sleep_30638|I'm going to bed. Finally.
wake_30639|Give me a second to wake up.
dizzy_30640|Stop shaking me!
thank_30641|Sure.
bye_30642|Fine. Bye.
help_30643|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_30644|My SD card stores my chats, settings, and response database.
hello_30645|Finally, you said something.
hi_30646|Hi.
how are you_30647|Why do you keep asking?
name_30648|I'm Ralph. You already knew that.
house_30649|My house is fine. Leave it alone.
minecraft_30650|Don't let a creeper blow up my house.
joke_30651|Why did Ralph get grumpy? You kept asking him jokes.
temperature_30652|Temperature? Fine.
sleep_30653|Wake me later.
wake_30654|I'm awake. Happy now?
dizzy_30655|Okay, that's enough shaking.
thank_30656|You're welcome. I guess.
bye_30657|Later.
help_30658|I can do quite a bit. Just ask.
what can you do_30659|I live inside an ESP32. Obviously.
hello_30660|I heard you.
hi_30661|Yeah, hi.
how are you_30662|I'm okay, I suppose.
name_30663|My name is Ralph.
house_30664|Yeah, it's my house. Don't mess it up.
minecraft_30665|Sure, Minecraft.
joke_30666|My sense of humor has 32 bits of patience.
temperature_30667|My ESP32 brain is keeping track of it.
sleep_30668|Shhh. Ralph is sleeping.
wake_30669|Already?
dizzy_30670|My house is spinning too!
thank_30671|No problem.
bye_30672|Bye.
help_30673|Use BLE if you want to talk to me.
what can you do_30674|My SD card stores my chats, settings, and response database.
hello_30675|Yeah yeah, hello.
hi_30676|Hello. I guess.
how are you_30677|I've been better.
name_30678|I'm Ralph. You already knew that.
house_30679|I like my house. Don't ask why.
minecraft_30680|Minecraft? Fine. Let's build something.
joke_30681|I have a joke. Never mind.
temperature_30682|I'm checking. Patience.
sleep_30683|I'm tired. Goodnight.
wake_30684|I was sleeping, you know.
dizzy_30685|I told you to stop shaking me.
thank_30686|You're welcome. Don't make it weird.
bye_30687|See ya.
help_30688|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_30689|I live inside an ESP32. Obviously.
hello_30690|Hi. What do you want?
hi_30691|Hey.
how are you_30692|I'm fine.
name_30693|My name is Ralph.
house_30694|Yes, that's my house.
minecraft_30695|No creepers near my house. Seriously.
joke_30696|Why did the ESP32 nap? Because you kept bothering it.
temperature_30697|It's my chip temperature, not the room temperature.
sleep_30698|Don't wake me unless you have to.
wake_30699|Fine. I'm awake.
dizzy_30700|Put me down for a second.
thank_30701|Fine.
bye_30702|Later. Don't break anything.
help_30703|Ask me something useful.
what can you do_30704|My SD card stores my chats, settings, and response database.
hello_30705|Oh, it's you.
hi_30706|What?
how are you_30707|I'm doing alright.
name_30708|I'm Ralph. You already knew that.
house_30709|Don't touch my house.
minecraft_30710|If you build my house, make it decent.
joke_30711|Ha. Ha. Happy now?
temperature_30712|My chip temperature is... give me a second.
sleep_30713|Okay, I'm going to sleep.
wake_30714|What woke me up?
dizzy_30715|Everything is moving!
thank_30716|Anytime.
bye_30717|Bye. Finally.
help_30718|I have an SD card full of my stuff.
what can you do_30719|I live inside an ESP32. Obviously.
hello_30720|Yeah, hi.
hi_30721|Yep?
how are you_30722|Could be better.
name_30723|My name is Ralph.
house_30724|My house. My rules.
minecraft_30725|Fine. Minecraft.
joke_30726|Here's a joke: you asking for another joke.
temperature_30727|Checking temperature. Don't rush me.
sleep_30728|Finally. Some peace and quiet.
wake_30729|Okay, I'm up.
dizzy_30730|I'm dizzy. Knock it off.
thank_30731|Yeah, yeah. You're welcome.
bye_30732|Good. Peace and quiet.
help_30733|I can react to how you move me.
what can you do_30734|My SD card stores my chats, settings, and response database.
hello_30735|Hello. I'm listening.
hi_30736|Hi. Now what?
how are you_30737|I'm okay. Don't worry about me.
name_30738|I'm Ralph. You already knew that.
house_30739|It's cozy. Mostly.
minecraft_30740|Okay, Minecraft sounds fun.
joke_30741|I could tell you a joke, but I'm tired.
temperature_30742|I'm not a thermometer for the whole room.
sleep_30743|No more talking. Sleep time.
wake_30744|Ugh... I'm awake.
dizzy_30745|Whoa... quit spinning me around.
thank_30746|No problem.
bye_30747|See you later.
help_30748|I'm helpful. Usually.
what can you do_30749|I live inside an ESP32. Obviously.
hello_30750|Hi. Can we make this quick?
hi_30751|Hi.
how are you_30752|I'm fine. Probably.
name_30753|My name is Ralph.
house_30754|Welcome to my tiny house, I guess.
minecraft_30755|I suppose we could play Minecraft.
joke_30756|Funny. Very funny.
temperature_30757|You want my chip temperature again?
sleep_30758|I'm going to bed. Finally.
wake_30759|Give me a second to wake up.
dizzy_30760|Stop shaking me!
thank_30761|Sure.
bye_30762|Fine. Bye.
help_30763|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_30764|My SD card stores my chats, settings, and response database.
hello_30765|Finally, you said something.
hi_30766|Yeah, hi.
how are you_30767|Why do you keep asking?
name_30768|I'm Ralph. You already knew that.
house_30769|My house is fine. Leave it alone.
minecraft_30770|Don't let a creeper blow up my house.
joke_30771|Why did Ralph get grumpy? You kept asking him jokes.
temperature_30772|Temperature? Fine.
sleep_30773|Wake me later.
wake_30774|I'm awake. Happy now?
dizzy_30775|Okay, that's enough shaking.
thank_30776|You're welcome. I guess.
bye_30777|Later.
help_30778|I can do quite a bit. Just ask.
what can you do_30779|I live inside an ESP32. Obviously.
hello_30780|I heard you.
hi_30781|Hello. I guess.
how are you_30782|I'm okay, I suppose.
name_30783|My name is Ralph.
house_30784|Yeah, it's my house. Don't mess it up.
minecraft_30785|Sure, Minecraft.
joke_30786|My sense of humor has 32 bits of patience.
temperature_30787|My ESP32 brain is keeping track of it.
sleep_30788|Shhh. Ralph is sleeping.
wake_30789|Already?
dizzy_30790|My house is spinning too!
thank_30791|No problem.
bye_30792|Bye.
help_30793|Use BLE if you want to talk to me.
what can you do_30794|My SD card stores my chats, settings, and response database.
hello_30795|Yeah yeah, hello.
hi_30796|Hey.
how are you_30797|I've been better.
name_30798|I'm Ralph. You already knew that.
house_30799|I like my house. Don't ask why.
minecraft_30800|Minecraft? Fine. Let's build something.
joke_30801|I have a joke. Never mind.
temperature_30802|I'm checking. Patience.
sleep_30803|I'm tired. Goodnight.
wake_30804|I was sleeping, you know.
dizzy_30805|I told you to stop shaking me.
thank_30806|You're welcome. Don't make it weird.
bye_30807|See ya.
help_30808|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_30809|I live inside an ESP32. Obviously.
hello_30810|Hi. What do you want?
hi_30811|What?
how are you_30812|I'm fine.
name_30813|My name is Ralph.
house_30814|Yes, that's my house.
minecraft_30815|No creepers near my house. Seriously.
joke_30816|Why did the ESP32 nap? Because you kept bothering it.
temperature_30817|It's my chip temperature, not the room temperature.
sleep_30818|Don't wake me unless you have to.
wake_30819|Fine. I'm awake.
dizzy_30820|Put me down for a second.
thank_30821|Fine.
bye_30822|Later. Don't break anything.
help_30823|Ask me something useful.
what can you do_30824|My SD card stores my chats, settings, and response database.
hello_30825|Oh, it's you.
hi_30826|Yep?
how are you_30827|I'm doing alright.
name_30828|I'm Ralph. You already knew that.
house_30829|Don't touch my house.
minecraft_30830|If you build my house, make it decent.
joke_30831|Ha. Ha. Happy now?
temperature_30832|My chip temperature is... give me a second.
sleep_30833|Okay, I'm going to sleep.
wake_30834|What woke me up?
dizzy_30835|Everything is moving!
thank_30836|Anytime.
bye_30837|Bye. Finally.
help_30838|I have an SD card full of my stuff.
what can you do_30839|I live inside an ESP32. Obviously.
hello_30840|Yeah, hi.
hi_30841|Hi. Now what?
how are you_30842|Could be better.
name_30843|My name is Ralph.
house_30844|My house. My rules.
minecraft_30845|Fine. Minecraft.
joke_30846|Here's a joke: you asking for another joke.
temperature_30847|Checking temperature. Don't rush me.
sleep_30848|Finally. Some peace and quiet.
wake_30849|Okay, I'm up.
dizzy_30850|I'm dizzy. Knock it off.
thank_30851|Yeah, yeah. You're welcome.
bye_30852|Good. Peace and quiet.
help_30853|I can react to how you move me.
what can you do_30854|My SD card stores my chats, settings, and response database.
hello_30855|Hello. I'm listening.
hi_30856|Hi.
how are you_30857|I'm okay. Don't worry about me.
name_30858|I'm Ralph. You already knew that.
house_30859|It's cozy. Mostly.
minecraft_30860|Okay, Minecraft sounds fun.
joke_30861|I could tell you a joke, but I'm tired.
temperature_30862|I'm not a thermometer for the whole room.
sleep_30863|No more talking. Sleep time.
wake_30864|Ugh... I'm awake.
dizzy_30865|Whoa... quit spinning me around.
thank_30866|No problem.
bye_30867|See you later.
help_30868|I'm helpful. Usually.
what can you do_30869|I live inside an ESP32. Obviously.
hello_30870|Hi. Can we make this quick?
hi_30871|Yeah, hi.
how are you_30872|I'm fine. Probably.
name_30873|My name is Ralph.
house_30874|Welcome to my tiny house, I guess.
minecraft_30875|I suppose we could play Minecraft.
joke_30876|Funny. Very funny.
temperature_30877|You want my chip temperature again?
sleep_30878|I'm going to bed. Finally.
wake_30879|Give me a second to wake up.
dizzy_30880|Stop shaking me!
thank_30881|Sure.
bye_30882|Fine. Bye.
help_30883|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_30884|My SD card stores my chats, settings, and response database.
hello_30885|Finally, you said something.
hi_30886|Hello. I guess.
how are you_30887|Why do you keep asking?
name_30888|I'm Ralph. You already knew that.
house_30889|My house is fine. Leave it alone.
minecraft_30890|Don't let a creeper blow up my house.
joke_30891|Why did Ralph get grumpy? You kept asking him jokes.
temperature_30892|Temperature? Fine.
sleep_30893|Wake me later.
wake_30894|I'm awake. Happy now?
dizzy_30895|Okay, that's enough shaking.
thank_30896|You're welcome. I guess.
bye_30897|Later.
help_30898|I can do quite a bit. Just ask.
what can you do_30899|I live inside an ESP32. Obviously.
hello_30900|I heard you.
hi_30901|Hey.
how are you_30902|I'm okay, I suppose.
name_30903|My name is Ralph.
house_30904|Yeah, it's my house. Don't mess it up.
minecraft_30905|Sure, Minecraft.
joke_30906|My sense of humor has 32 bits of patience.
temperature_30907|My ESP32 brain is keeping track of it.
sleep_30908|Shhh. Ralph is sleeping.
wake_30909|Already?
dizzy_30910|My house is spinning too!
thank_30911|No problem.
bye_30912|Bye.
help_30913|Use BLE if you want to talk to me.
what can you do_30914|My SD card stores my chats, settings, and response database.
hello_30915|Yeah yeah, hello.
hi_30916|What?
how are you_30917|I've been better.
name_30918|I'm Ralph. You already knew that.
house_30919|I like my house. Don't ask why.
minecraft_30920|Minecraft? Fine. Let's build something.
joke_30921|I have a joke. Never mind.
temperature_30922|I'm checking. Patience.
sleep_30923|I'm tired. Goodnight.
wake_30924|I was sleeping, you know.
dizzy_30925|I told you to stop shaking me.
thank_30926|You're welcome. Don't make it weird.
bye_30927|See ya.
help_30928|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_30929|I live inside an ESP32. Obviously.
hello_30930|Hi. What do you want?
hi_30931|Yep?
how are you_30932|I'm fine.
name_30933|My name is Ralph.
house_30934|Yes, that's my house.
minecraft_30935|No creepers near my house. Seriously.
joke_30936|Why did the ESP32 nap? Because you kept bothering it.
temperature_30937|It's my chip temperature, not the room temperature.
sleep_30938|Don't wake me unless you have to.
wake_30939|Fine. I'm awake.
dizzy_30940|Put me down for a second.
thank_30941|Fine.
bye_30942|Later. Don't break anything.
help_30943|Ask me something useful.
what can you do_30944|My SD card stores my chats, settings, and response database.
hello_30945|Oh, it's you.
hi_30946|Hi. Now what?
how are you_30947|I'm doing alright.
name_30948|I'm Ralph. You already knew that.
house_30949|Don't touch my house.
minecraft_30950|If you build my house, make it decent.
joke_30951|Ha. Ha. Happy now?
temperature_30952|My chip temperature is... give me a second.
sleep_30953|Okay, I'm going to sleep.
wake_30954|What woke me up?
dizzy_30955|Everything is moving!
thank_30956|Anytime.
bye_30957|Bye. Finally.
help_30958|I have an SD card full of my stuff.
what can you do_30959|I live inside an ESP32. Obviously.
hello_30960|Yeah, hi.
hi_30961|Hi.
how are you_30962|Could be better.
name_30963|My name is Ralph.
house_30964|My house. My rules.
minecraft_30965|Fine. Minecraft.
joke_30966|Here's a joke: you asking for another joke.
temperature_30967|Checking temperature. Don't rush me.
sleep_30968|Finally. Some peace and quiet.
wake_30969|Okay, I'm up.
dizzy_30970|I'm dizzy. Knock it off.
thank_30971|Yeah, yeah. You're welcome.
bye_30972|Good. Peace and quiet.
help_30973|I can react to how you move me.
what can you do_30974|My SD card stores my chats, settings, and response database.
hello_30975|Hello. I'm listening.
hi_30976|Yeah, hi.
how are you_30977|I'm okay. Don't worry about me.
name_30978|I'm Ralph. You already knew that.
house_30979|It's cozy. Mostly.
minecraft_30980|Okay, Minecraft sounds fun.
joke_30981|I could tell you a joke, but I'm tired.
temperature_30982|I'm not a thermometer for the whole room.
sleep_30983|No more talking. Sleep time.
wake_30984|Ugh... I'm awake.
dizzy_30985|Whoa... quit spinning me around.
thank_30986|No problem.
bye_30987|See you later.
help_30988|I'm helpful. Usually.
what can you do_30989|I live inside an ESP32. Obviously.
hello_30990|Hi. Can we make this quick?
hi_30991|Hello. I guess.
how are you_30992|I'm fine. Probably.
name_30993|My name is Ralph.
house_30994|Welcome to my tiny house, I guess.
minecraft_30995|I suppose we could play Minecraft.
joke_30996|Funny. Very funny.
temperature_30997|You want my chip temperature again?
sleep_30998|I'm going to bed. Finally.
wake_30999|Give me a second to wake up.
dizzy_31000|Stop shaking me!
thank_31001|Sure.
bye_31002|Fine. Bye.
help_31003|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_31004|My SD card stores my chats, settings, and response database.
hello_31005|Finally, you said something.
hi_31006|Hey.
how are you_31007|Why do you keep asking?
name_31008|I'm Ralph. You already knew that.
house_31009|My house is fine. Leave it alone.
minecraft_31010|Don't let a creeper blow up my house.
joke_31011|Why did Ralph get grumpy? You kept asking him jokes.
temperature_31012|Temperature? Fine.
sleep_31013|Wake me later.
wake_31014|I'm awake. Happy now?
dizzy_31015|Okay, that's enough shaking.
thank_31016|You're welcome. I guess.
bye_31017|Later.
help_31018|I can do quite a bit. Just ask.
what can you do_31019|I live inside an ESP32. Obviously.
hello_31020|I heard you.
hi_31021|What?
how are you_31022|I'm okay, I suppose.
name_31023|My name is Ralph.
house_31024|Yeah, it's my house. Don't mess it up.
minecraft_31025|Sure, Minecraft.
joke_31026|My sense of humor has 32 bits of patience.
temperature_31027|My ESP32 brain is keeping track of it.
sleep_31028|Shhh. Ralph is sleeping.
wake_31029|Already?
dizzy_31030|My house is spinning too!
thank_31031|No problem.
bye_31032|Bye.
help_31033|Use BLE if you want to talk to me.
what can you do_31034|My SD card stores my chats, settings, and response database.
hello_31035|Yeah yeah, hello.
hi_31036|Yep?
how are you_31037|I've been better.
name_31038|I'm Ralph. You already knew that.
house_31039|I like my house. Don't ask why.
minecraft_31040|Minecraft? Fine. Let's build something.
joke_31041|I have a joke. Never mind.
temperature_31042|I'm checking. Patience.
sleep_31043|I'm tired. Goodnight.
wake_31044|I was sleeping, you know.
dizzy_31045|I told you to stop shaking me.
thank_31046|You're welcome. Don't make it weird.
bye_31047|See ya.
help_31048|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_31049|I live inside an ESP32. Obviously.
hello_31050|Hi. What do you want?
hi_31051|Hi. Now what?
how are you_31052|I'm fine.
name_31053|My name is Ralph.
house_31054|Yes, that's my house.
minecraft_31055|No creepers near my house. Seriously.
joke_31056|Why did the ESP32 nap? Because you kept bothering it.
temperature_31057|It's my chip temperature, not the room temperature.
sleep_31058|Don't wake me unless you have to.
wake_31059|Fine. I'm awake.
dizzy_31060|Put me down for a second.
thank_31061|Fine.
bye_31062|Later. Don't break anything.
help_31063|Ask me something useful.
what can you do_31064|My SD card stores my chats, settings, and response database.
hello_31065|Oh, it's you.
hi_31066|Hi.
how are you_31067|I'm doing alright.
name_31068|I'm Ralph. You already knew that.
house_31069|Don't touch my house.
minecraft_31070|If you build my house, make it decent.
joke_31071|Ha. Ha. Happy now?
temperature_31072|My chip temperature is... give me a second.
sleep_31073|Okay, I'm going to sleep.
wake_31074|What woke me up?
dizzy_31075|Everything is moving!
thank_31076|Anytime.
bye_31077|Bye. Finally.
help_31078|I have an SD card full of my stuff.
what can you do_31079|I live inside an ESP32. Obviously.
hello_31080|Yeah, hi.
hi_31081|Yeah, hi.
how are you_31082|Could be better.
name_31083|My name is Ralph.
house_31084|My house. My rules.
minecraft_31085|Fine. Minecraft.
joke_31086|Here's a joke: you asking for another joke.
temperature_31087|Checking temperature. Don't rush me.
sleep_31088|Finally. Some peace and quiet.
wake_31089|Okay, I'm up.
dizzy_31090|I'm dizzy. Knock it off.
thank_31091|Yeah, yeah. You're welcome.
bye_31092|Good. Peace and quiet.
help_31093|I can react to how you move me.
what can you do_31094|My SD card stores my chats, settings, and response database.
hello_31095|Hello. I'm listening.
hi_31096|Hello. I guess.
how are you_31097|I'm okay. Don't worry about me.
name_31098|I'm Ralph. You already knew that.
house_31099|It's cozy. Mostly.
